Size of solar PV system,,,,
kW,,,,
Based on Solar Power EU,,,,
country,profile_type,cons_size,azimuth,Value
Hungary,cooling,small,0,4.559650085
Hungary,cooling,small,45,4.559650085
Hungary,heating,large,-45,8.713461633
Hungary,heating,large,0,8.713461633
Hungary,heating,large,45,8.713461633
Hungary,heating,medium,-45,5.80897442
Hungary,heating,medium,0,5.80897442
Hungary,heating,medium,45,5.80897442
Hungary,heating,small,-45,4.356730815
Hungary,heating,small,0,4.356730815
Hungary,heating,small,45,4.356730815
Hungary,normal,large,-45,7.534652338
Hungary,normal,large,0,7.534652338
Hungary,normal,large,45,7.534652338
Hungary,normal,medium,-45,5.023101558
Hungary,normal,medium,0,5.023101558
Hungary,normal,medium,45,5.023101558
Hungary,normal,small,-45,3.767326168
Hungary,normal,small,0,3.767326168
Hungary,normal,small,45,3.767326168
Poland,cooling,large,-45,10.49205928
Poland,cooling,large,0,10.49205928
Poland,cooling,large,45,10.49205928
Poland,cooling,medium,-45,6.99470618
Poland,cooling,medium,0,6.99470618
Poland,cooling,medium,45,6.99470618
Poland,cooling,small,-45,5.246029635
Poland,cooling,small,0,5.246029635
Poland,cooling,small,45,5.246029635
Poland,heating,large,-45,10.15306527
Poland,heating,large,0,10.15306527
Poland,heating,large,45,10.15306527
Poland,heating,medium,-45,6.768710176
Poland,heating,medium,0,6.768710176
Poland,heating,medium,45,6.768710176
Poland,heating,small,-45,5.076532632
Poland,heating,small,0,5.076532632
Poland,heating,small,45,5.076532632
Poland,normal,large,-45,8.661194549
Poland,normal,large,0,8.661194549
Poland,normal,large,45,8.661194549
Poland,normal,medium,-45,5.774129698
Poland,normal,medium,0,5.774129698
Poland,normal,medium,45,5.774129698
Poland,normal,small,-45,4.330597273
Poland,normal,small,0,4.330597273
Poland,normal,small,45,4.330597273
Romania,cooling,large,-45,9.037575158
Romania,cooling,large,0,9.037575158
Romania,cooling,large,45,9.037575158
Romania,cooling,medium,-45,6.025050105
Romania,cooling,medium,0,6.025050105
Romania,cooling,medium,45,6.025050105
Romania,cooling,small,-45,4.51878758
Romania,cooling,small,0,4.51878758
Romania,cooling,small,45,4.51878758
Romania,heating,large,-45,8.681018958
Romania,heating,large,0,8.681018958
Romania,heating,large,45,8.681018958
Romania,heating,medium,-45,5.787345971
Romania,heating,medium,0,5.787345971
Romania,heating,medium,45,5.787345971
Romania,heating,small,-45,4.340509479
Romania,heating,small,0,4.340509479
Romania,heating,small,45,4.340509479
Romania,normal,large,-45,7.461994262
Romania,normal,large,0,7.461994262
Romania,normal,large,45,7.461994262
Romania,normal,medium,-45,4.974662841
Romania,normal,medium,0,4.974662841
Romania,normal,medium,45,4.974662841
Romania,normal,small,-45,3.73099713
Romania,normal,small,0,3.73099713
Romania,normal,small,45,3.73099713
Slovakia,cooling,large,-45,8.559563892
Slovakia,cooling,large,0,8.559563892
Slovakia,cooling,large,45,8.559563892
Slovakia,cooling,medium,-45,5.706375929
Slovakia,cooling,medium,0,5.706375929
Slovakia,cooling,medium,45,5.706375929
Slovakia,cooling,small,-45,4.279781946
Slovakia,cooling,small,0,4.279781946
Slovakia,cooling,small,45,4.279781946
Slovakia,heating,large,-45,8.237219599
Slovakia,heating,large,0,8.237219599
Slovakia,heating,large,45,8.237219599
Slovakia,heating,medium,-45,5.491479733
Slovakia,heating,medium,0,5.491479733
Slovakia,heating,medium,45,5.491479733
Slovakia,heating,small,-45,4.1186098
Slovakia,heating,small,0,4.1186098
Slovakia,heating,small,45,4.1186098
Slovakia,normal,large,-45,7.064597864
Slovakia,normal,large,0,7.064597864
Slovakia,normal,large,45,7.064597864
Slovakia,normal,medium,-45,4.70973191
Slovakia,normal,medium,0,4.70973191
Slovakia,normal,medium,45,4.70973191
Slovakia,normal,small,-45,3.532298933
Slovakia,normal,small,0,3.532298933
Slovakia,normal,small,45,3.532298933
Slovenia,cooling,large,-45,7.774970605
Slovenia,cooling,large,0,7.774970605
Slovenia,cooling,large,45,7.774970605
Slovenia,cooling,medium,-45,5.183313737
Slovenia,cooling,medium,0,5.183313737
Slovenia,cooling,medium,45,5.183313737
Slovenia,cooling,small,-45,3.887485303
Slovenia,cooling,small,0,3.887485303
Slovenia,cooling,small,45,3.887485303
Slovenia,heating,large,-45,7.515310884
Slovenia,heating,large,0,7.515310884
Slovenia,heating,large,45,7.515310884
Slovenia,heating,medium,-45,5.010207256
Slovenia,heating,medium,0,5.010207256
Slovenia,heating,medium,45,5.010207256
Slovenia,heating,small,-45,3.757655442
Slovenia,heating,small,0,3.757655442
Slovenia,heating,small,45,3.757655442
Slovenia,normal,large,-45,6.441528949
Slovenia,normal,large,0,6.441528949
Slovenia,normal,large,45,6.441528949
Slovenia,normal,medium,-45,4.294352633
Slovenia,normal,medium,0,4.294352633
Slovenia,normal,medium,45,4.294352633
Slovenia,normal,small,-45,3.220764475
Slovenia,normal,small,0,3.220764475
Slovenia,normal,small,45,3.220764475
